GroupID,Shops
1,495; 725; 717; 747; 402; 653; 441; 626; 657; 604
2,461; 418; 442; 594; 446; 562; 596; 456; 516; 460
3,567; 757; 478; 489; 457; 621; 581; 422; 706; 742
4,610; 620; 737; 736; 486; 655; 774; 510; 762; 760
5,569; 702; 633; 491; 694; 625; 543; 644; 771; 430
6,459; 664; 607; 483; 624; 662; 719; 722; 670; 796
7,573; 735; 519; 681; 724; 535; 743; 465; 434; 755
8,659; 571; 534; 580; 788; 750; 791; 507; 574; 699
9,496; 443; 701; 776; 786; 471; 421; 410; 578; 628
10,678; 513; 679; 521; 404; 557; 476; 727; 618; 690
11,582; 437; 475; 677; 444; 718; 773; 584; 526; 415
12,726; 614; 453; 728; 601; 433; 656; 540; 715; 647
13,479; 426; 485; 627; 622; 565; 688; 603; 697; 745
14,772; 753; 787; 523; 775; 641; 464; 558; 639; 711
15,559; 409; 448; 689; 658; 501; 542; 586; 447; 406
16,591; 732; 484; 799; 449; 599; 785; 648; 499; 411
17,652; 451; 493; 663; 789; 416; 509; 751; 532; 698
18,640; 408; 524; 504; 748; 518; 744; 512; 405; 598
19,554; 550; 455; 636; 432; 602; 472; 427; 782; 525
20,720; 666; 768; 431; 741; 739; 506; 556; 615; 502
21,529; 600; 714; 764; 522; 419; 545; 538; 630; 795
22,780; 665; 563; 634; 440; 766; 564; 792; 752; 672
23,608; 758; 583; 716; 585; 481; 463; 541; 708; 588
24,784; 439; 704; 684; 552; 779; 800; 631; 781; 643
25,539; 423; 560; 520; 619; 635; 709; 687; 646; 609
26,477; 488; 536; 424; 769; 546; 576; 651; 605; 575
27,438; 553; 685; 561; 777; 544; 661; 494; 669; 407
28,503; 606; 450; 613; 482; 710; 548; 403; 683; 579
29,667; 733; 508; 514; 425; 767; 470; 436; 401; 592
30,761; 696; 650; 798; 572; 566; 703; 654; 638; 568
