GroupID,Shops
1,231; 240; 201; 330; 7; 88; 94; 136; 286; 35
2,15; 303; 334; 72; 81; 87; 200; 180; 366; 253
3,117; 192; 181; 390; 272; 378; 317; 90; 214; 49
4,148; 389; 20; 376; 295; 63; 374; 199; 61; 134
5,237; 270; 48; 105; 212; 224; 89; 174; 349; 34
6,215; 47; 77; 64; 320; 31; 163; 309; 266; 182
7,65; 347; 187; 368; 186; 249; 66; 271; 82; 398
8,323; 16; 104; 197; 170; 189; 379; 338; 331; 99
9,377; 245; 55; 344; 84; 372; 58; 350; 242; 30
10,322; 391; 83; 145; 358; 60; 382; 71; 11; 159
11,387; 184; 283; 111; 167; 43; 40; 236; 274; 234
12,363; 115; 107; 258; 227; 32; 232; 298; 42; 357
13,86; 95; 108; 332; 205; 156; 176; 304; 318; 218
14,259; 70; 12; 273; 251; 230; 337; 209; 1; 252
15,109; 37; 305; 79; 342; 68; 144; 278; 354; 307
16,76; 203; 254; 110; 92; 39; 207; 261; 292; 194
17,113; 153; 371; 210; 73; 188; 395; 33; 364; 360
18,228; 345; 359; 291; 139; 21; 127; 220; 13; 399
19,4; 18; 53; 114; 313; 392; 152; 178; 280; 325
20,129; 238; 80; 164; 133; 179; 315; 46; 311; 297
